Daily report: CIRIS Morning Report              Generated 05/02/2012 14:43
Report period: from  05/01/2012 05:00  to  05/02/2012 05:00

Rtu Name,Rtu ID  ,Rtu#,Diff-P,Line-P,Line-T,   Water,  Flow,FlowTm,WtrLvl,Casing,DownHP, MMBTU,
,,,                      inch,  psig,     F,    brls,   mcf, hh:mm,  Feet,  psig,  psig,mmbtuD,

State 16-7                    ,STATCHEK    ,3511,     0, 0.075,53.604, 0.000, 0.000, 00:00, 0.000,     0,     0, 0.000,
Section  11: Total Gas Production:  0.000 mcf    0.000 MMBTU   Total Water: 0.000 brls

Federal 41-12                 ,41124175    ,0192,14.529, 9.623,99.848, 0.000,26.557, 24:00,70.000,-15.000, 0.460,24.645,
Federal 23-2                  ,23024175    ,0193,15.881, 7.998,101.842, 0.000,40.476, 24:00,25.645,-9.094,-3.420,35.740,
Federal 21-2                  ,21024175    ,0194,     0, 0.000,52.311, 0.000, 0.000, 00:00,50.000,-0.056,11.063, 0.000,
Federal 41-2                  ,41024175    ,0195,     0, 0.182,53.521, 0.000, 0.000, 00:00,88.000,-0.173,19.138, 0.000,
Federal 32-2                  ,32024175    ,0196,     0, 0.127,53.322, 0.000, 0.000, 00:00,16.000,-0.136, 3.674, 0.000,
Federal 12-2                  ,12024175    ,0197,     0, 0.000,51.696, 0.000, 0.000, 00:00,58.000, 0.060,12.738, 0.000,
Federal 14-2                  ,14024175    ,0198,34.890,13.678,113.732,72.978,67.386, 24:00, 3.971,-6.809,-5.814,60.580,
Moore WIRC 14-12              ,14124175    ,0199, 2.495, 0.432,53.316, 0.000, 0.000, 00:00,59.932,-15.000,-1.852, 0.000,
Moore WIRC 43-11              ,43114175    ,0200,38.885, 6.649,96.774, 0.000,39.319, 24:00,28.115,-9.494,-3.094,35.545,
Federal 23-12                 ,23124175    ,0201,43.737, 4.228,93.248, 0.000,38.707, 24:00,32.819,-9.849,-2.502,35.146,
Moore WIRC 21-13              ,21134175    ,0203,     0, 0.091,54.605, 0.000, 0.000, 00:00, 0.000, 0.056, 0.020, 0.000,
Federal 34-12                 ,34124175    ,0204,40.863, 4.752,102.471, 0.000,60.991, 24:00,12.000,-9.163,-6.313,57.820,
Federal 43-12                 ,43124175    ,0205,     0, 0.181,52.770, 0.000, 0.000, 00:00, 0.000, 0.717,-3.060, 0.000,
Federal 32-12                 ,32124175    ,0206,28.360, 4.645,99.264,24.991,31.724, 24:00,21.065,-12.370,-7.612,28.900,
Moore Wirc 12-12              ,12124175    ,0207,     0, 0.002,53.708, 0.000, 0.000, 00:00, 0.000, 0.052,-4.268, 0.000,
Moore WIRC 32-13              ,32134175    ,0208,22.343, 4.211,50.429, 0.000,16.829, 24:00, 0.000, 4.213,-0.069,15.904,
Moore WIRC 12-13              ,12134175    ,0209,     0, 0.000,54.479, 0.000, 0.000, 00:00,44.000, 0.000, 9.871, 0.000,
Federal 23-13                 ,23134175    ,0210,34.871, 4.144,53.258, 0.000,20.111, 24:00, 0.000, 4.166, 0.212,17.235,
Federal 34-13                 ,34134175    ,0211,29.938, 4.062,50.797, 0.000,19.189, 24:00, 0.000, 4.021,-15.000,17.980,
Federal 14-13                 ,14134175    ,0212,20.070, 3.256,62.336, 0.000,27.321, 24:00, 0.000, 3.270,-15.000,25.682,
Walker Creek 21-11            ,21114175    ,0301,     0, 0.079,55.480, 0.000, 0.000, 00:00,71.990,-15.000, 0.645, 0.000,
Moore WIRC 32-11              ,32114175    ,0302,39.602, 8.736,100.914, 0.000,42.104, 24:00,35.989,-9.443,-1.526,38.483,
Moore WIRC 33-11              ,33114175    ,0303,20.317, 9.932,109.813, 0.000,70.905, 24:00,33.472,-9.589,-2.160,65.304,
Walker Creek 23-11            ,23114175    ,0304,25.016,11.830,115.999, 0.000,82.078, 24:00,31.726,-7.274,-0.277,75.430,
WalkerCreekFed41-33           ,41334275    ,3535,     0, 0.000,52.612, 0.000, 0.000, 00:00,662.040, 0.000,143.598, 0.000,
WalkerCreekFed32-33           ,32334275    ,3536, 6.100,11.071,52.611, 0.000,10.479, 24:00,427.795,11.079,103.838, 9.285,
WalkerCreekFed23-33           ,23334275    ,3537,20.869, 9.240,142.711,11.586,16.870, 24:00,52.544, 9.273,20.871,14.778,
WalkerCreekFed43-33           ,43334275    ,3700,21.310,10.876,108.594,60.945,71.267, 24:00,74.814,-6.830, 9.607,62.858,
Iberlin Fed 21-34             ,21344275    ,3701,12.607,15.168,96.145, 5.366,28.014, 24:00,94.185,-6.447,14.177,25.521,
Iberlin Fed 12-34             ,12344275    ,3702,     0, 0.000,51.048, 0.000, 0.000, 00:00,832.000, 0.000,180.422, 0.000,
Walker Creek 34-33            ,34334275    ,3708,     0,     0,     0,       0, 0.000, 00:00, 0.000,     0,     0, 0.000,
Walker Creek Fed32-3          ,32034175    ,3709,     0, 0.113,52.324, 0.000, 0.000, 00:00,138.403,-2.117,28.055, 0.000,
Walker Creek Fed43-3          ,43034175    ,3710,     0, 0.000,51.992, 0.000, 0.000, 00:00,176.000,-15.000,23.435, 0.000,
Walker 12-3                   ,12034175    ,3711,     0,     0,     0,       0, 0.000, 00:00, 0.000,     0,     0, 0.000,
Section  17: Total Gas Production: 824.246 mcf   749.180 MMBTU   Total Water:287.875 brls

Federal 21-24                 ,21244175    ,0213,22.191, 4.167,54.325, 3.156,29.771, 24:00,26.773, 4.126,10.115,27.985,
Federal 12-24                 ,12244175    ,0214,16.913, 3.444,60.744, 6.153,25.412, 24:00,15.615, 3.464, 7.066,23.811,
Federal 23-24                 ,23244175    ,0215,     0, 2.443,73.467, 0.000, 0.000, 00:00,129.929, 2.401,30.775, 0.000,
Iberlin 41-18                 ,41184175    ,3500,     0, 0.077,53.894, 0.000, 0.000, 00:00, 0.000, 0.050,-15.000, 0.000,
Federal 21-18                 ,21184175    ,3501,     0, 0.237,53.369, 0.000, 0.000, 00:00, 0.000, 0.230,-15.000, 0.000,
Federal 23-18                 ,23184175    ,3502,     0, 0.215,52.099, 0.000, 0.000, 00:00, 0.850, 0.214, 0.460, 0.000,
Iberlin 32-18                 ,32184175    ,3600,     0, 0.162,52.400, 0.000, 0.000, 00:00,1126.000, 0.132,244.187, 0.000,
Iberlin 43-18                 ,43184175    ,3601,     0,     0,     0,       0, 0.000, 00:00, 0.000,     0,     0, 0.000,
Federal 34-18                 ,34184175    ,3602,     0, 0.097,54.512, 0.000, 0.000, 00:00,823.684, 0.073,178.644, 0.000,
Federal 32-20                 ,32204175    ,3613,     0, 0.021,54.986, 0.000, 0.000, 00:00,1132.175, 0.043,245.426, 0.000,
Moore Land 34-20              ,34204175    ,3614,     0, 0.130,53.940, 0.000, 0.000, 00:00,1338.831, 0.147,290.268, 0.000,
Ogalalla Land 43-20           ,43204175    ,3615,     0, 0.027,53.404, 0.000, 0.000, 00:00,1133.258, 0.021,245.548, 0.000,
Moore 41-26                   ,41264175    ,3621,22.107, 5.592,69.107, 8.245,17.731, 24:00,116.114, 5.589,30.947,16.561,
Federal 34-14                 ,34144175    ,5012,     0, 0.404,72.476, 0.000, 0.000, 00:00,166.044, 0.393,36.699, 0.000,
Federal 23-14                 ,23144175    ,5013,     0, 0.098,55.519, 0.000, 0.000, 00:00,81.989, 0.083,18.050, 0.000,
Federal 32-14                 ,32144175    ,5014, 7.863, 2.990,88.104, 0.000,16.511, 24:00,16.144, 3.011, 6.838,15.355,
Federal 41-14                 ,41144175    ,5015,     0, 0.218,53.708, 0.000, 0.000, 00:00,12.020, 0.255, 3.154, 0.000,
Federal 23-15                 ,23154175    ,5016,     0, 0.054,55.163, 0.000, 0.000, 00:00,685.905, 0.078,148.821, 0.000,
Federal 14-15                 ,14154175    ,5017,     0, 0.019,54.527, 0.000, 0.000, 00:00, 0.000, 0.047,-15.000, 0.000,
Federal 34-15                 ,34154175    ,5018,     0, 0.313,73.568, 0.000, 0.000, 00:00,323.799, 0.275,70.667, 0.000,
Federal 43-15                 ,43154175    ,5019, 7.866, 2.847,57.367,25.522, 9.569, 24:00,31.546, 2.852, 9.891, 8.785,
Federal 14-14                 ,14144175    ,5020,     0, 0.221,75.774, 0.000, 0.000, 00:00,179.961, 0.204,39.371, 0.000,
Federal 32-23                 ,32234175    ,5029,     0, 0.094,55.955, 0.000, 0.000, 00:00,231.376, 0.109,50.439, 0.000,
Federal 14-23                 ,14234175    ,5030,47.211, 7.792,53.494, 1.194,47.553, 24:00,25.869, 7.734,13.570,45.270,
Federal 21-23                 ,21234175    ,5031,     0, 0.000,54.876, 0.000, 0.000, 00:00,675.318, 0.000,146.352, 0.000,
Federal 34-23                 ,34234175    ,5032,32.044, 3.994,55.691, 2.518,35.529, 24:00,59.261, 3.965,17.013,34.072,
Federal 23-23                 ,23234175    ,5033, 3.242, 2.704,60.020, 9.572,24.325, 24:00,44.866, 2.703,12.640,22.987,
Federal 12-23                 ,12234175    ,5034,     0, 0.102,55.317, 0.000, 0.000, 00:00, 0.000, 0.089,-15.000, 0.000,
Federal 43-23                 ,43234175    ,5035,15.160, 3.478,59.514, 9.795,23.935, 24:00,63.389, 3.467,17.417,22.858,
Moore WIRC 14-24              ,14244175    ,5036,38.080, 5.377,58.777,32.167,20.766, 24:00,59.592, 5.363,18.495,18.980,
Federal 43-14                 ,43144175    ,5039,     0, 0.106,72.361, 0.000, 0.000, 00:00,911.795, 0.128,197.694, 0.000,
Moore WIRC 32-26              ,32264175    ,5040,37.662, 4.651,55.477,27.403,21.734, 24:00, 0.000, 4.639, 2.728,20.169,
Federal 32-24                 ,32244175    ,5041,     0, 0.386,74.076, 0.000, 0.000, 00:00,71.936, 0.362,16.159, 0.000,
Federal 12-27                 ,12274175    ,5051,     0, 0.016,55.443, 0.000, 0.000, 00:00,91.124, 0.018,19.922, 0.000,
Federal 32-27                 ,32274175    ,5052,18.452, 3.826,60.194, 8.622,14.930, 24:00,65.301, 3.811,18.153,14.019,
Federal 14-22                 ,14224175    ,5053,     0, 0.082,56.461, 0.000, 0.000, 00:00,252.000, 0.111,54.848, 0.000,
Federal 21-27                 ,21274175    ,5054,18.626, 5.486,55.893, 0.203,44.738, 24:00,45.235, 5.520,15.533,42.367,
Federal 23-22                 ,23224175    ,5055,18.731, 3.283,53.430, 0.000,26.660, 24:00,1600.012, 3.333,350.111,25.113,
Federal 34-22                 ,34224175    ,5056,49.526, 4.160,51.731, 0.000,11.045, 24:00,81.561, 4.123,21.967,10.548,
Federal 21-22                 ,21224175    ,5057,     0, 0.065,69.302, 0.000, 0.000, 00:00,383.216, 0.080,83.278, 0.000,
Federal 43-22                 ,43224175    ,5058,23.222, 3.362,55.612,16.252,16.542, 24:00,48.984, 3.354,14.168,15.681,
Federal 41-22                 ,41224175    ,5059,     0, 0.293,54.053, 0.000, 0.000, 00:00,587.508, 0.236,127.779, 0.000,
Federal 32-22                 ,32224175    ,5060,     0, 0.356,55.699, 0.000, 0.000, 00:00,247.174, 0.358,54.046, 0.000,
Federal 41-27                 ,41274175    ,5061,13.981, 3.802,57.949, 0.015,24.023, 24:00,91.638, 3.838,23.911,22.750,
Federal 23-7                  ,23074175    ,5062, 2.460, 0.231,54.392, 0.000, 0.000, 00:00,1110.945, 0.200,241.059, 0.000,
Iberlin 32-7                  ,32074175    ,5063,     0, 0.035,53.161, 0.000, 0.000, 00:00,950.796, 0.038,206.139, 0.000,
Iberlin 33-7                  ,33074175    ,5064,     0, 0.056,55.204, 0.000, 0.000, 00:00,1105.763, 0.038,239.700, 0.000,
Iberlin 43-7                  ,43074175    ,5065,     0, 0.070,53.785, 0.000, 0.000, 00:00, 4.150, 0.066, 1.240, 0.000,
Iberlin 12-8                  ,12084175    ,5066,     0, 0.009,54.856, 0.000, 0.000, 00:00,931.737, 0.016,201.997, 0.000,
Iberlin 42-7                  ,42074175    ,5067,     0, 0.260,52.334, 0.000, 0.000, 00:00,956.235, 0.246,207.658, 0.000,
Iberlin 21-7                  ,21074175    ,5068,     0, 0.071,53.697, 0.000, 0.000, 00:00,534.861, 0.108,116.132, 0.000,
Federal 12-7                  ,12074175    ,5069,     0, 0.090,54.364, 0.000, 0.000, 00:00, 2.318, 0.137, 0.765, 0.000,
